City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Porto Belo,BR,2022-06-27 22:10:33,-27.1578,-48.5531,65.89,88,100,9.57
260,Ndioum,SN,2022-06-27 22:10:53,16.5129,-14.6471,100.09,21,64,10.54
261,Kasongo-Lunda,CD,2022-06-27 22:10:54,-6.4667,16.8167,69.66,42,5,1.34
262,Huejuquilla El Alto,MX,2022-06-27 22:10:55,22.6,-103.8667,85.69,20,55,6.78
263,Port Lincoln,AU,2022-06-27 22:07:18,-34.7333,135.8667,49.62,67,59,10.98
264,Coffs Harbour,AU,2022-06-27 22:10:57,-30.3,153.1333,58.14,62,40,17.27
265,Port Alfred,ZA,2022-06-27 22:10:58,-33.5906,26.891,59.58,64,0,10.04
266,Erzin,TR,2022-06-27 22:10:59,36.9559,36.2,71.82,71,0,1.07
267,Pacific Grove,US,2022-06-27 22:11:00,36.6177,-121.9166,86.23,87,0,10.36
268,Aksu,CN,2022-06-27 22:11:00,41.1231,80.2644,78.49,37,74,7.99
269,Bonga,ET,2022-06-27 22:11:02,7.2833,36.2333,58.08,97,100,1.99
270,Padang,ID,2022-06-27 22:09:36,-0.9492,100.3543,77.67,87,100,1.88
271,Petropavlovsk-Kamchatskiy,RU,2022-06-27 22:11:05,53.0452,158.6483,57.78,72,0,2.24
272,Adrar,MR,2022-06-27 22:08:33,20.5022,-10.0711,92.55,15,0,11.43
273,Dawei,MM,2022-06-27 22:11:37,14.0833,98.2,76.57,94,98,3.22
274,Nizhnevartovsk,RU,2022-06-27 22:11:37,60.9344,76.5531,51.82,100,75,8.99
275,Kerman,IR,2022-06-27 22:11:38,30.2832,57.0788,85.57,12,87,2.19
276,Barentu,ER,2022-06-27 22:07:16,15.1139,37.5928,71.28,59,86,9.82
277,Ambon,ID,2022-06-27 22:11:40,-3.6954,128.1814,76.23,16,40,4.61
278,Airai,TL,2022-06-27 22:11:41,-8.9266,125.4092,56.64,88,100,4.32
279,Nome,US,2022-06-27 22:11:42,64.5011,-165.4064,48.16,100,100,5.75
280,Vila Franca Do Campo,PT,2022-06-27 22:11:43,37.7167,-25.4333,67.19,84,62,3.67
281,Zhigansk,RU,2022-06-27 22:09:13,66.7697,123.3711,44.42,56,100,17.43
282,Hecun,CN,2022-06-27 22:11:44,36.5333,114.1111,78.6,57,0,4.56
283,Sangar,RU,2022-06-27 22:11:46,63.9242,127.4739,56.37,97,84,9.08
284,Namatanai,PG,2022-06-27 22:11:47,-3.6667,152.4333,82.0,69,94,8.32
285,Kieta,PG,2022-06-27 22:11:48,-6.2167,155.6333,81.61,74,91,1.59
286,Sur,OM,2022-06-27 22:11:49,22.5667,59.5289,87.82,65,82,9.69
287,Bereda,ES,2022-06-27 22:11:50,43.2686,-7.5406,48.15,100,10,2.75
288,Provideniya,RU,2022-06-27 22:11:51,64.3833,-173.3,44.71,100,100,13.0
289,Mazagao,BR,2022-06-27 22:07:09,-0.115,-51.2894,84.25,72,69,3.31
290,Jalu,LY,2022-06-27 22:09:38,29.0331,21.5482,88.75,20,0,15.28
291,Koumac,NC,2022-06-27 22:11:54,-20.5667,164.2833,74.95,73,100,5.03
292,Marsa Matruh,EG,2022-06-27 22:11:55,31.3525,27.2453,76.33,74,0,10.69
